Vendor_ID,month,Passengers_sum,Passengers_mean,Ride_Count
HV0002,2019-02,-979266,-1.0,979266.0
HV0002,2019-03,-835215,-1.0,835215.0
HV0002,2019-04,-740532,-1.0,740532.0
HV0002,2019-05,-742053,-1.0,742053.0
HV0002,2019-06,-674839,-1.0,674839.0
HV0002,2019-07,-658012,-1.0,658012.0
HV0002,2019-08,-619663,-1.0,619663.0
HV0002,2019-09,-625981,-1.0,625981.0
HV0002,2019-10,-407494,-1.0,407494.0
HV0002,2019-11,-105879,-1.0,105879.0
HV0003,2019-02,-16451135,-1.2181519665984302,13504994.0
HV0003,2019-03,-20222066,-1.1724065040461864,17248340.0
HV0003,2019-04,-18178111,-1.1609877417482908,15657453.0
HV0003,2019-05,-18034218,-1.1359331615281965,15876126.0
HV0003,2019-06,-15947823,-1.1077051723973865,14397173.000000002
HV0003,2019-07,-15571687,-1.108845657217529,14043151.000000002
HV0003,2019-08,-15460632,-1.110174339074744,13926310.000000002
HV0003,2019-09,-15393095,-1.1022741236355387,13964852.0
HV0003,2019-10,-15785505,-1.0879131853065225,14509894.000000002
HV0003,2019-11,-16767051,-1.074053547238899,15611001.0
HV0003,2019-12,-17150988,-1.064900155994229,16105724.000000002
HV0003,2020-01,-15629953,-1.0718279830920856,14582520.0
HV0003,2020-02,-16845874,-1.0700134213182364,15743610.0
HV0003,2020-03,-10364629,-1.05366064365975,9836781.0
HV0003,2020-04,-3102835,-1.0,3102835.0
HV0003,2020-05,-4359377,-1.0,4359377.0
HV0003,2020-06,-5114308,-1.0,5114308.0
HV0003,2020-07,-7081522,-1.0,7081522.0
HV0003,2020-08,-7856499,-1.0,7856499.0
HV0003,2020-09,-8847755,-1.0,8847755.0
HV0003,2020-10,-9797775,-1.0,9797775.0
HV0003,2020-11,-8375281,-1.0,8375281.0
HV0003,2020-12,-8486416,-1.0,8486416.0
HV0003,2021-01,-8704128,-1.0,8704128.0
HV0003,2021-02,-8290758,-1.0,8290758.0
HV0003,2021-03,-10173376,-1.0,10173376.0
HV0003,2021-04,-10238382,-1.0,10238382.0
HV0003,2021-05,-10808415,-1.0,10808415.0
HV0003,2021-06,-10747390,-1.0,10747390.0
HV0003,2021-07,-10704366,-1.0,10704366.0
HV0003,2021-08,-10196747,-1.0,10196747.0
HV0003,2021-09,-10557442,-1.0,10557442.0
HV0003,2021-10,-12086389,-1.0,12086389.0
HV0003,2021-11,-11819597,-1.0,11819597.0
HV0003,2021-12,-11802074,-1.0,11802074.0
HV0003,2022-01,-10826336,-1.0,10826336.0
HV0003,2022-02,-11440898,-1.0,11440898.0
HV0003,2022-03,-13136268,-1.0,13136268.0
HV0003,2022-04,-13010980,-1.0,13010980.0
HV0003,2022-05,-13325434,-1.0,13325434.0
HV0003,2022-06,-13053868,-1.0003072830371027,13049858.000000002
HV0003,2022-07,-12602171,-1.0021038966140527,12575713.0
HV0003,2022-08,-12515175,-1.0011576948912393,12500703.0
HV0003,2022-09,-12915612,-1.001030590246789,12902315.0
HV0003,2022-10,-14138782,-1.0025448681022304,14102892.0
HV0003,2022-11,-12995381,-1.0021110417523744,12968005.0
HV0003,2022-12,-14038838,-1.0022080384879741,14007908.0
HV0003,2023-01,-13626134,-1.003385970937586,13580151.999999998
HV0003,2023-02,-13347025,-1.004976003579265,13280939.0
HV0003,2023-03,-14627218,-1.0050744267581222,14553368.0
HV0003,2023-04,-14103874,-1.0075337825794968,13998412.999999998
HV0003,2023-05,-14411713,-1.0093771265489402,14277827.999999998
HV0003,2023-06,-13938044,-1.0091261992385891,13811993.000000002
HV0003,2023-07,-13880517,-1.0108256266211841,13731861.0
HV0003,2023-08,-13282220,-1.0105797163530348,13143169.0
HV0003,2023-09,-14491336,-1.012558339015202,14311606.000000002
HV0003,2023-10,-14572244,-1.013678870630948,14375602.000000002
HV0003,2023-11,-13984940,-1.014226574039619,13788773.0
HV0003,2023-12,-14467818,-1.0136049522384851,14273626.0
HV0003,2024-01,-14660346,-1.0157690614162023,14432755.0
HV0003,2024-02,-14660650,-1.017443242404821,14409305.000000002
HV0003,2024-03,-15911437,-1.0185276556814307,15621998.000000002
HV0003,2024-04,-14975228,-1.0184322204061875,14704196.999999998
HV0003,2024-05,-15822249,-1.0182762981225641,15538267.0
HV0003,2024-06,-15440985,-1.0186668691555738,15158032.0
HV0003,2024-07,-14611691,-1.0197453876691667,14328764.0
HV0003,2024-08,-14423151,-1.022382521163373,14107392.0
HV0003,2024-09,-14975346,-1.0242112473236902,14621345.0
HV0003,2024-10,-15463981,-1.0210407008425644,15145312.999999998
HV0003,2024-11,-15487068,-1.0238086864500338,15126916.000000002
HV0003,2024-12,-16415715,-1.030392654458327,15931514.0
HV0004,2019-02,-1679153,-1.7065846415279198,983926.0
HV0004,2019-03,-1849029,-1.7088945224735976,1082003.0
HV0004,2019-04,-1768358,-1.6903613467387792,1046142.0
HV0004,2019-05,-1736318,-1.6869477860922248,1029266.0000000001
HV0004,2019-06,-1537158,-1.6515865204853037,930716.0
HV0004,2019-07,-1486436,-1.616046131868084,919798.0
HV0004,2019-08,-1411889,-1.601409396429892,881653.9999999999
HV0004,2019-09,-1415786,-1.6330201367053683,866974.0
HV0004,2019-10,-1471424,-1.637486409218028,898587.0
HV0004,2019-11,-1255835,-1.6226285643406366,773951.0
HV0004,2019-12,-1141090,-1.6126998932960224,707565.0
HV0004,2020-01,-1152673,-1.617559640752175,712600.0
HV0004,2020-02,-1060774,-1.6524478106243408,641941.0
HV0004,2020-03,-524050,-1.556864702352305,336606.0
HV0004,2020-04,-65991,-1.0,65991.0
HV0004,2020-05,-109127,-1.0,109127.0
HV0004,2020-06,-130025,-1.0,130025.0
HV0004,2020-07,-160936,-1.0006404158350588,160833.0
HV0004,2020-08,-168018,-1.00202769594103,167678.0
HV0004,2020-09,-142978,-1.0068306010928962,142008.0
HV0004,2020-10,-149036,-1.0100437805820242,147554.0
HV0004,2020-11,-131992,-1.0083576525233389,130897.99999999999
HV0004,2020-12,-128315,-1.0080128834596802,127295.00000000001
HV0004,2021-01,-111219,-1.0109439621869745,110015.0
HV0004,2021-02,-87364,-1.0156478876514219,86017.99999999999
HV0004,2021-03,-112500,-1.0483254747749595,107314.0
HV0004,2021-04,-111177,-1.0678801267889733,104110.0
HV0004,2021-05,-100946,-1.0480056477232615,96322.0
HV0004,2021-06,-87585,-1.0446434960998068,83842.0
HV0004,2021-07,-112667,-1.2120465596626362,92955.99999999999
HV0004,2021-08,-116141,-1.2393793552380241,93709.0
HV0004,2021-09,-113154,-1.283915036536105,88132.0
HV0004,2021-10,-38015,-1.2929832318628618,29401.0
HV0005,2019-02,-5680724,-1.2110052706123922,4690916.0
HV0005,2019-03,-5224308,-1.1117819810003746,4699040.0
HV0005,2019-04,-4753880,-1.1079513011181874,4290694.0
HV0005,2019-05,-5224443,-1.1159043035139034,4681802.0
HV0005,2019-06,-5592808,-1.1187267240644718,4999262.0
HV0005,2019-07,-5238405,-1.1187553004890065,4682351.0
HV0005,2019-08,-5329484,-1.1342981547673017,4698486.0
HV0005,2019-09,-5252700,-1.139040237110849,4611514.0
HV0005,2019-10,-6181153,-1.156152041172284,5346315.0
HV0005,2019-11,-5993341,-1.164946040973523,5144737.0
HV0005,2019-12,-6233069,-1.1477654820488004,5430612.0
HV0005,2020-01,-5969446,-1.1318098807640444,5274248.0
HV0005,2020-02,-6066820,-1.1362045745811116,5339549.0
HV0005,2020-03,-3519446,-1.093151477182617,3219541.0
HV0005,2020-04,-1144083,-1.0,1144083.0
HV0005,2020-05,-1621495,-1.0,1621495.0
HV0005,2020-06,-2310860,-1.0,2310860.0
HV0005,2020-07,-2716099,-1.0,2716099.0
HV0005,2020-08,-3072675,-1.0,3072675.0
HV0005,2020-09,-3116906,-1.0,3116906.0
HV0005,2020-10,-3323082,-1.0,3323082.0
HV0005,2020-11,-3090696,-1.0000032355276467,3090685.9999999995
HV0005,2020-12,-3023412,-1.0,3023412.0
HV0005,2021-01,-3094325,-1.0,3094325.0
HV0005,2021-02,-3237166,-1.0,3237166.0
HV0005,2021-03,-3946703,-1.0,3946703.0
HV0005,2021-04,-3768889,-1.0000026533088486,3768879.0
HV0005,2021-05,-3814434,-1.0,3814434.0
HV0005,2021-06,-4130660,-1.0,4130660.0
HV0005,2021-07,-4229852,-1.0,4229852.0
HV0005,2021-08,-4210611,-1.0003257120050175,4209240.0
HV0005,2021-09,-4243177,-1.0006357769319094,4240481.0
HV0005,2021-10,-4431079,-1.000341568451627,4429566.0
HV0005,2021-11,-4223691,-1.0003905693027213,4222042.0
HV0005,2021-12,-4253313,-1.0002097628621438,4252421.0
HV0005,2022-01,-3927305,-1.000522259063424,3925255.0
HV0005,2022-02,-4581737,-1.000732135895081,4578385.0
HV0005,2022-03,-5319058,-1.0003343814882797,5317280.0
HV0005,2022-04,-4749111,-1.001588077900599,4741581.0
HV0005,2022-05,-4836468,-1.0009451766499355,4831901.0
HV0005,2022-06,-4735155,-1.0010439267373992,4730217.0
HV0005,2022-07,-4892114,-1.0006561795215534,4888906.000000001
